"Activity.Label" "Subject" "Activity.Avg"
"LAYING" 1 -0.681581978523055
"LAYING" 2 -0.743126753233842
"LAYING" 3 -0.734347688677236
"LAYING" 4 -0.728668034663377
"LAYING" 5 -0.739085358855865
"LAYING" 6 -0.714481502407656
"LAYING" 7 -0.723857064735047
"LAYING" 8 -0.722406520353446
"LAYING" 9 -0.726146510489097
"LAYING" 10 -0.751454042087244
"LAYING" 11 -0.739250481303299
"LAYING" 12 -0.72760644728624
"LAYING" 13 -0.731168410513377
"LAYING" 14 -0.706780359580511
"LAYING" 15 -0.732694054370465
"LAYING" 16 -0.743287358888657
"LAYING" 17 -0.731324690617382
"LAYING" 18 -0.746133039821382
"LAYING" 19 -0.742143249540819
"LAYING" 20 -0.737847526254904
"LAYING" 21 -0.729316795500066
"LAYING" 22 -0.718920180798411
"LAYING" 23 -0.738453366680006
"LAYING" 24 -0.738162801094621
"LAYING" 25 -0.6550466559966
"LAYING" 26 -0.744683873718817
"LAYING" 27 -0.747039773104429
"LAYING" 28 -0.749711337306598
"LAYING" 29 -0.747047283845479
"LAYING" 30 -0.73371945664569
"SITTING" 1 -0.725010256710861
"SITTING" 2 -0.737361985616243
"SITTING" 3 -0.707845449974583
"SITTING" 4 -0.717843420704141
"SITTING" 5 -0.71816250875378
"SITTING" 6 -0.7166252231237
"SITTING" 7 -0.712354376735631
"SITTING" 8 -0.72745694109493
"SITTING" 9 -0.704523755500333
"SITTING" 10 -0.73712845579557
"SITTING" 11 -0.730213416461106
"SITTING" 12 -0.727919507003818
"SITTING" 13 -0.735239423441511
"SITTING" 14 -0.730278809106672
"SITTING" 15 -0.733838697315558
"SITTING" 16 -0.734763414612203
"SITTING" 17 -0.747004627057666
"SITTING" 18 -0.743850843467203
"SITTING" 19 -0.728175891288928
"SITTING" 20 -0.726102407642704
"SITTING" 21 -0.743125990670937
"SITTING" 22 -0.720164924412542
"SITTING" 23 -0.726113491116866
"SITTING" 24 -0.737144249115584
"SITTING" 25 -0.737614646951336
"SITTING" 26 -0.732209186814351
"SITTING" 27 -0.738607565821911
"SITTING" 28 -0.731041115599865
"SITTING" 29 -0.739022156685121
"SITTING" 30 -0.732058477455571
"STANDING" 1 -0.751886863913404
"STANDING" 2 -0.739970261016944
"STANDING" 3 -0.712068206745217
"STANDING" 4 -0.705320467661402
"STANDING" 5 -0.698248943096751
"STANDING" 6 -0.723169679977658
"STANDING" 7 -0.725824852727622
"STANDING" 8 -0.735324128855415
"STANDING" 9 -0.719415113824515
"STANDING" 10 -0.721542732014904
"STANDING" 11 -0.747503181881309
"STANDING" 12 -0.719351505561252
"STANDING" 13 -0.742391626905495
"STANDING" 14 -0.733750919831609
"STANDING" 15 -0.733951795404
"STANDING" 16 -0.744597444550344
"STANDING" 17 -0.753476669240357
"STANDING" 18 -0.744424330919073
"STANDING" 19 -0.73554803643265
"STANDING" 20 -0.703585407231564
"STANDING" 21 -0.740332493442983
"STANDING" 22 -0.726785296080127
"STANDING" 23 -0.735074230891955
"STANDING" 24 -0.734420049761198
"STANDING" 25 -0.739256665905592
"STANDING" 26 -0.740410224586124
"STANDING" 27 -0.743828559458429
"STANDING" 28 -0.712417065277087
"STANDING" 29 -0.746979641390065
"STANDING" 30 -0.714291901922109
"WALKING" 1 -0.193204572492262
"WALKING" 2 -0.32544820638322
"WALKING" 3 -0.317947801074047
"WALKING" 4 -0.392128132692634
"WALKING" 5 -0.290846535887125
"WALKING" 6 -0.231135633132547
"WALKING" 7 -0.184567020446338
"WALKING" 8 -0.16056841343373
"WALKING" 9 -0.286806225658878
"WALKING" 10 -0.207316119201447
"WALKING" 11 -0.379016958409591
"WALKING" 12 -0.256034499452433
"WALKING" 13 -0.210988794167055
"WALKING" 14 -0.288349500486322
"WALKING" 15 -0.306114313281622
"WALKING" 16 -0.383138718688577
"WALKING" 17 -0.309280113929322
"WALKING" 18 -0.394478845416299
"WALKING" 19 -0.0739875703910806
"WALKING" 20 -0.0954032717082775
"WALKING" 21 -0.239612750488894
"WALKING" 22 -0.161843378710114
"WALKING" 23 -0.0969339947223061
"WALKING" 24 -0.356957437224817
"WALKING" 25 -0.42015627084922
"WALKING" 26 -0.318740418835688
"WALKING" 27 -0.315300610673124
"WALKING" 28 -0.313871992811888
"WALKING" 29 -0.256846692509308
"WALKING" 30 -0.267020565167016
"WALKING_DOWNSTAIRS" 1 -0.149358035365099
"WALKING_DOWNSTAIRS" 2 -0.106411521321941
"WALKING_DOWNSTAIRS" 3 -0.232708366871836
"WALKING_DOWNSTAIRS" 4 -0.281840698460603
"WALKING_DOWNSTAIRS" 5 -0.149721994636294
"WALKING_DOWNSTAIRS" 6 -0.000804104618582071
"WALKING_DOWNSTAIRS" 7 -0.164658253921528
"WALKING_DOWNSTAIRS" 8 -0.00103612319688198
"WALKING_DOWNSTAIRS" 9 -0.162548480947928
"WALKING_DOWNSTAIRS" 10 -0.108732322835411
"WALKING_DOWNSTAIRS" 11 -0.220718087092131
"WALKING_DOWNSTAIRS" 12 -0.179277771565335
"WALKING_DOWNSTAIRS" 13 -0.170802030677804
"WALKING_DOWNSTAIRS" 14 0.00341910027488552
